Gene stable ID	Gene name
ENSG00000198888	MT-ND1
ENSG00000198712	MT-CO2
ENSG00000198840	MT-ND3
ENSG00000198886	MT-ND4
ENSG00000198695	MT-ND6
ENSG00000198692	EIF1AY
ENSG00000129824	RPS4Y1
ENSG00000067646	ZFY
ENSG00000067048	DDX3Y
ENSG00000280963	SERTAD4-AS1
ENSG00000281230	SERTAD4
ENSG00000099715	PCDH11Y
ENSG00000285241	PCK2
ENSG00000284916	PSME1
ENSG00000284889	PSME2
ENSG00000285048	IRF9
ENSG00000292334	SLC25A6
ENSG00000292342	LINC00685
ENSG00000292343	AKAP17A
ENSG00000292345	ZBED1
ENSG00000292347	LINC00102
ENSG00000292357	CSF2RA
ENSG00000281320	DYRK1B
ENSG00000281221	PSMC4
ENSG00000281526	ZNF546
ENSG00000284984	RHOU
ENSG00000280858	RPL7A
ENSG00000281165	SLC2A6
ENSG00000291483	DUSP11
ENSG00000291470	PTP4A3
ENSG00000283868	ZBTB4
ENSG00000285312	C6orf52
ENSG00000285226	PAK1IP1
ENSG00000285222	GCNT2
ENSG00000154646	TMPRSS15
ENSG00000283085	TPBG
ENSG00000154639	CXADR
ENSG00000189403	HMGB1
ENSG00000288411	SAA1
ENSG00000288299	LDHA
ENSG00000288399	KCTD11
ENSG00000288401	CTTN
ENSG00000291508	EIF4A3
ENSG00000132975	GPR12
ENSG00000288257	STRA6
ENSG00000168461	RAB31
ENSG00000291533	CCT8
ENSG00000260913	LINC01254
ENSG00000136122	BORA
ENSG00000280495	TRAPPC4
ENSG00000136158	SPRY2
ENSG00000281614	INPP5D
ENSG00000281857	SAG
ENSG00000102554	KLF5
ENSG00000132874	SLC14A2
ENSG00000288146	NOC4L
ENSG00000281178	MLXIP
ENSG00000157557	ETS2
ENSG00000291560	PCP4
ENSG00000291563	DSCAM-AS1
ENSG00000134489	HRH4
ENSG00000291631	NMB
ENSG00000118946	PCDH17
ENSG00000120688	WBP4
ENSG00000159228	CBR1
ENSG00000159231	CBR3
ENSG00000166510	CCDC68
ENSG00000159216	RUNX1
ENSG00000166979	EVA1C
ENSG00000150907	FOXO1
ENSG00000041353	RAB27B
ENSG00000091164	TXNL1
ENSG00000154640	BTG3
ENSG00000185721	DRG1
ENSG00000154719	MRPL39
ENSG00000283059	KLLN
ENSG00000159263	SIM2
ENSG00000198089	SFI1
ENSG00000160209	PDXK
ENSG00000134871	COL4A2
ENSG00000184564	SLITRK6
ENSG00000291653	PCDHA5
ENSG00000184226	PCDH9
ENSG00000291669	PCDHB1
ENSG00000100354	TNRC6B
ENSG00000187498	COL4A1
ENSG00000288364	NDN
ENSG00000128342	LIF
ENSG00000171873	ADRA1D
ENSG00000185950	IRS2
ENSG00000125845	BMP2
ENSG00000291745	MED10
ENSG00000125898	FAM110A
ENSG00000184497	TMEM255B
ENSG00000141668	CBLN2
ENSG00000285451	ADCK5
ENSG00000100316	RPL3
ENSG00000197971	MBP
ENSG00000075218	GTSE1
ENSG00000088930	XRN2
ENSG00000125870	SNRPB2
ENSG00000101474	APMAP
ENSG00000265933	LINC00668
ENSG00000149435	GGTLC1
ENSG00000291754	IQGAP3
ENSG00000292251	GPATCH4
ENSG00000170369	CST2
ENSG00000100347	SAMM50
ENSG00000182871	COL18A1
ENSG00000205611	LINC01597
ENSG00000136156	ITM2B
ENSG00000154734	ADAMTS1
ENSG00000292234	COL18A1
ENSG00000101384	JAG1
ENSG00000291836	AAAS
ENSG00000198355	PIM3
ENSG00000291789	RPPH1
ENSG00000291803	PARP2
ENSG00000291791	TEP1
ENSG00000149639	SOGA1
ENSG00000291796	APEX1
ENSG00000124191	TOX2
ENSG00000244558	KCNK15-AS1
ENSG00000291905	FCER1A
ENSG00000291917	GPRC5C
ENSG00000238141	BRWD1-AS1
ENSG00000291920	CD300C
ENSG00000100311	PDGFB
ENSG00000183036	PCP4
ENSG00000101447	FAM83D
ENSG00000150656	CNDP1
ENSG00000158445	KCNB1
ENSG00000235123	DSCAM-AS1
ENSG00000284099	SQSTM1
ENSG00000284260	RUFY1
ENSG00000100290	BIK
ENSG00000284501	MGAT4B
ENSG00000233695	GAS6-AS1
ENSG00000282986	EIF3K
ENSG00000282844	ACTN4
ENSG00000282853	ECH1
ENSG00000284254	HNRNPH1
ENSG00000282895	RINL
ENSG00000160181	TFF2
ENSG00000160182	TFF1
ENSG00000169100	SLC25A6
ENSG00000213888	LINC01521
ENSG00000288149	SYT8
ENSG00000136143	SUCLA2
ENSG00000288368	C1GALT1C1
ENSG00000141682	PMAIP1
ENSG00000139910	NOVA1
ENSG00000004961	HCCS
ENSG00000134757	DSG3
ENSG00000258655	ARHGAP5-AS1
ENSG00000160191	PDE9A
ENSG00000054793	ATP9A
ENSG00000139684	ESD
ENSG00000118271	TTR
ENSG00000291929	RPL3L
ENSG00000100220	RTCB
ENSG00000170558	CDH2
ENSG00000291938	TBL3
ENSG00000291941	SYNGR3
ENSG00000101955	SRPX
ENSG00000226179	LINC00685
ENSG00000197976	AKAP17A
ENSG00000101670	LIPG
ENSG00000291973	RPN2
ENSG00000196139	AKR1C3
ENSG00000292233	MROH8
ENSG00000133466	C1QTNF6
ENSG00000149970	CNKSR2
ENSG00000124216	SNAI1
ENSG00000100519	PSMC6
ENSG00000132965	ALOX5AP
ENSG00000067082	KLF6
ENSG00000134146	DPH6
ENSG00000182256	GABRG3
ENSG00000123243	ITIH5
ENSG00000285443	ZYX
ENSG00000147041	SYTL5
ENSG00000176399	DMRTA1
ENSG00000124225	PMEPA1
ENSG00000102760	RGCC
ENSG00000101365	IDH3B
ENSG00000100612	DHRS7
ENSG00000164985	PSIP1
ENSG00000138613	APH1B
ENSG00000139679	LPAR6
ENSG00000142182	DNMT3L
ENSG00000159167	STC1
ENSG00000285132	CTSB
ENSG00000158470	B4GALT5
ENSG00000284967	FDFT1
ENSG00000157456	CCNB2
ENSG00000285438	SOX7
ENSG00000285343	PPP1R3B
ENSG00000285022	MFHAS1
ENSG00000179242	CDH4
ENSG00000156687	UNC5D
ENSG00000288673	DLC1
ENSG00000284881	DEFB1
ENSG00000153714	LURAP1L
ENSG00000237664	LINC00316
ENSG00000278709	NKILA
ENSG00000087510	TFAP2C
ENSG00000129521	EGLN3
ENSG00000170345	FOS
ENSG00000184012	TMPRSS2
ENSG00000175985	PLEKHD1
ENSG00000274538	PHLDA2
ENSG00000119681	LTBP2
ENSG00000183741	CBX6
ENSG00000273707	CDKN1C
ENSG00000276130	SLC22A18
ENSG00000274454	SLC22A18AS
ENSG00000147459	DOCK5
ENSG00000244509	APOBEC3C
ENSG00000119121	TRPM6
ENSG00000140044	JDP2
ENSG00000137880	GCHFR
ENSG00000074410	CA12
ENSG00000042317	SPATA7
ENSG00000285023	CHORDC1
ENSG00000134013	LOXL2
ENSG00000282810	MIR210HG
ENSG00000276230	RNH1
ENSG00000131100	ATP6V1E1
ENSG00000099256	PRTFDC1
ENSG00000104765	BNIP3L
ENSG00000136770	DNAJC1
ENSG00000160284	SPATC1L
ENSG00000160285	LSS
ENSG00000165169	DYNLT3
ENSG00000125378	BMP4
ENSG00000137809	ITGA11
ENSG00000165092	ALDH1A1
ENSG00000065923	SLC9A7
ENSG00000033170	FUT8
ENSG00000180509	KCNE1
ENSG00000074696	HACD3
ENSG00000142156	COL6A1
ENSG00000187601	MAGEH1
ENSG00000198796	ALPK2
ENSG00000087842	PIR
ENSG00000135069	PSAT1
ENSG00000131080	EDA2R
ENSG00000109606	DHX15
ENSG00000165105	RASEF
ENSG00000130706	ADRM1
ENSG00000182220	ATP6AP2
ENSG00000136108	CKAP2
ENSG00000165416	SUGT1
ENSG00000275035	CCDC92
ENSG00000248131	LINC01194
ENSG00000043355	ZIC2
ENSG00000163132	MSX1
ENSG00000170891	CYTL1
ENSG00000088756	ARHGAP28
ENSG00000124145	SDC4
ENSG00000147100	SLC16A2
ENSG00000102316	MAGED2
ENSG00000107984	DKK1
ENSG00000170759	KIF5B
ENSG00000224958	PGM5-AS1
ENSG00000135040	NAA35
ENSG00000282107	TMEM255B
ENSG00000133398	MED10
ENSG00000240694	PNMA2
ENSG00000125965	GDF5
ENSG00000281809	LINC01394
ENSG00000258791	LINC00520
ENSG00000196419	XRCC6
ENSG00000119537	KDSR
ENSG00000130222	GADD45G
ENSG00000132823	OSER1
ENSG00000089486	CDIP1
ENSG00000136169	SETDB2
ENSG00000003147	ICA1
ENSG00000277276	OTUB2
ENSG00000178538	CA8
ENSG00000276879	IFI27L2
ENSG00000181626	ANKRD62
ENSG00000180537	RNF182
ENSG00000124787	RPP40
ENSG00000122952	ZWINT
ENSG00000176014	TUBB6
ENSG00000165259	HDX
ENSG00000165487	MICU2
ENSG00000165512	ZNF22
ENSG00000103534	TMC5
ENSG00000131668	BARX1
ENSG00000231107	LINC01508
ENSG00000140284	SLC27A2
ENSG00000104722	NEFM
ENSG00000120699	EXOSC8
ENSG00000080823	MOK
ENSG00000131669	NINJ1
ENSG00000145990	GFOD1
ENSG00000056097	ZFR
ENSG00000101608	MYL12A
ENSG00000102271	KLHL4
ENSG00000091490	SEL1L3
ENSG00000273686	B2M
ENSG00000118680	MYL12B
ENSG00000101198	NKAIN4
ENSG00000102390	PBDC1
ENSG00000078401	EDN1
ENSG00000275620	FLJ16779
ENSG00000138119	MYOF
ENSG00000160298	C21orf58
ENSG00000112183	RBM24
ENSG00000076641	PAG1
ENSG00000122644	ARL4A
ENSG00000145247	OCIAD2
ENSG00000100764	PSMC1
ENSG00000134419	RPS15A
ENSG00000136378	ADAMTS7
ENSG00000123200	ZC3H13
ENSG00000137273	FOXF2
ENSG00000124766	SOX4
ENSG00000152804	HHEX
ENSG00000146038	DCDC2
ENSG00000172201	ID4
ENSG00000041357	PSMA4
ENSG00000274734	ARHGAP11B
ENSG00000275568	ARHGAP11A
ENSG00000276886	GREM1
ENSG00000262243	CES1
ENSG00000277614	SCG5
ENSG00000275746	KLF13
ENSG00000100784	RPS6KA5
ENSG00000002587	HS3ST1
ENSG00000165072	MAMDC2
ENSG00000262788	UTP4
ENSG00000121390	PSPC1
ENSG00000286139	ARHGAP11B
ENSG00000281931	SCG5
ENSG00000159131	GART
ENSG00000282046	GREM1
ENSG00000248092	NNT-AS1
ENSG00000093009	CDC45
ENSG00000196730	DAPK1
ENSG00000113389	NPR3
ENSG00000136153	LMO7
ENSG00000282830	CALB2
ENSG00000198547	C20orf203
ENSG00000101367	MAPRE1
ENSG00000064666	CNN2
ENSG00000101000	PROCR
ENSG00000134363	FST
ENSG00000077420	APBB1IP
ENSG00000125966	MMP24
ENSG00000276870	PLA2G10
ENSG00000112996	MRPS30
ENSG00000125998	FAM83C
ENSG00000283056	ZG16B
ENSG00000275911	NDE1
ENSG00000125676	THOC2
ENSG00000154040	CABYR
ENSG00000139112	GABARAPL1
ENSG00000184470	TXNRD2
ENSG00000243646	IL10RB
ENSG00000103528	SYT17
ENSG00000274336	CDIP1
ENSG00000100600	LGMN
ENSG00000282725	CORO7
ENSG00000101335	MYL9
ENSG00000166828	SCNN1G
ENSG00000054598	FOXC1
ENSG00000135046	ANXA1
ENSG00000101405	OXT
ENSG00000039560	RAI14
ENSG00000276333	HS3ST6
ENSG00000282650	MEIOB
ENSG00000198171	DDRGK1
ENSG00000104327	CALB1
ENSG00000227234	SPANXB1
ENSG00000046774	MAGEC2
ENSG00000086061	DNAJA1
ENSG00000089289	IGBP1
ENSG00000262045	KRT34
ENSG00000173391	OLR1
ENSG00000198301	SDAD1
ENSG00000125968	ID1
ENSG00000164949	GEM
ENSG00000088325	TPX2
ENSG00000292033	KRT34
ENSG00000275031	METRNL
ENSG00000164687	FABP5
ENSG00000185567	AHNAK2
ENSG00000150459	SAP18
ENSG00000275246	TLCD2
ENSG00000146122	DAAM2
ENSG00000198573	SPANXC
ENSG00000235903	CPB2-AS1
ENSG00000278550	SLC43A2
ENSG00000103742	IGDCC4
ENSG00000274145	RILP
ENSG00000280563	NXN
ENSG00000282800	MIR22HG
ENSG00000274474	YWHAE
ENSG00000179772	FOXS1
ENSG00000171552	BCL2L1
ENSG00000213759	UGT2B11
ENSG00000117983	MUC5B
ENSG00000104321	TRPA1
ENSG00000010404	IDS
ENSG00000145284	SCD5
ENSG00000154764	WNT7A
ENSG00000112079	STK38
ENSG00000133665	DYDC2
ENSG00000138587	MNS1
ENSG00000276155	MAPT
ENSG00000276907	ARHGAP27
ENSG00000276836	ARHGAP27
ENSG00000136824	SMC2
ENSG00000125850	OVOL2
ENSG00000170540	ARL6IP1
ENSG00000277956	MAPT
ENSG00000282637	MAP3K14
ENSG00000171208	NETO2
ENSG00000152932	RAB3C
ENSG00000281300	NXN
ENSG00000131966	ACTR10
ENSG00000122870	BICC1
ENSG00000170571	EMB
ENSG00000144635	DYNC1LI1
ENSG00000262068	KRTAP3-1
ENSG00000261862	KRTAP1-5
ENSG00000148175	STOM
ENSG00000284320	SHMT1
ENSG00000170502	NUDT9
ENSG00000103485	QPRT
ENSG00000253302	STAU2-AS1
ENSG00000229847	EMX2OS
ENSG00000171105	INSR
ENSG00000148834	GSTO1
ENSG00000275851	MLLT6
ENSG00000127663	KDM4B
ENSG00000215182	MUC5AC
ENSG00000146166	LGSN
ENSG00000275099	GGNBP2
ENSG00000137831	UACA
ENSG00000276072	AATF
ENSG00000130177	CDC16
ENSG00000274233	CCL5
ENSG00000274577	LHX1
ENSG00000065833	ME1
ENSG00000276761	CWC25
ENSG00000196739	COL27A1
ENSG00000038427	VCAN
ENSG00000273780	ARHGAP23
ENSG00000275903	PSMB3
ENSG00000171234	UGT2B7
ENSG00000102900	NUP93
ENSG00000057657	PRDM1
ENSG00000146592	CREB5
ENSG00000163576	EFHB
ENSG00000141968	VAV1
ENSG00000226496	LINC00323
ENSG00000237945	LINC00649
ENSG00000136826	KLF4
ENSG00000198157	HMGN5
ENSG00000262102	DSEL
ENSG00000169116	PARM1
ENSG00000167157	PRRX2
ENSG00000160563	MED27
ENSG00000101412	E2F1
ENSG00000224743	TEX26-AS1
ENSG00000112081	SRSF3
ENSG00000242372	EIF6
ENSG00000147872	PLIN2
ENSG00000274273	ATP9B
ENSG00000118407	FILIP1
ENSG00000100297	MCM5
ENSG00000181350	LRRC75A
ENSG00000132646	PCNA
ENSG00000282266	ATP9B
ENSG00000133131	MORC4
ENSG00000104267	CA2
ENSG00000121691	CAT
ENSG00000138678	GPAT3
ENSG00000155959	VBP1
ENSG00000100292	HMOX1
ENSG00000008394	MGST1
ENSG00000149100	EIF3M
ENSG00000109046	WSB1
ENSG00000082397	EPB41L3
ENSG00000087245	MMP2
ENSG00000151491	EPS8
ENSG00000136270	TBRG4
ENSG00000120694	HSPH1
ENSG00000235904	RBMS3-AS3
ENSG00000272398	CD24
ENSG00000198900	TOP1
ENSG00000155463	OXA1L
ENSG00000138801	PAPSS1
ENSG00000197324	LRP10
ENSG00000108578	BLMH
ENSG00000101265	RASSF2
ENSG00000164171	ITGA2
ENSG00000144596	GRIP2
ENSG00000112796	ENPP5
ENSG00000139793	MBNL2
ENSG00000179431	FJX1
ENSG00000095596	CYP26A1
ENSG00000126653	NSRP1
ENSG00000148541	FAM13C
ENSG00000102265	TIMP1
ENSG00000136379	ABHD17C
ENSG00000253898	LINC01419
ENSG00000164794	KCNV1
ENSG00000103888	CEMIP
ENSG00000167693	NXN
ENSG00000164039	BDH2
ENSG00000111912	NCOA7
ENSG00000135720	DYNC1LI2
ENSG00000123136	DDX39A
ENSG00000148841	ITPRIP
ENSG00000126226	PCID2
ENSG00000120051	CFAP58
ENSG00000159140	SON
ENSG00000146731	CCT6A
ENSG00000103460	TOX3
ENSG00000123146	ADGRE5
ENSG00000141076	UTP4
ENSG00000164300	SERINC5
ENSG00000100462	PRMT5
ENSG00000133739	LRRCC1
ENSG00000138777	PPA2
ENSG00000146410	MTFR2
ENSG00000100027	YPEL1
ENSG00000115705	TPO
ENSG00000179715	PCED1B
ENSG00000197381	ADARB1
ENSG00000119973	PRLHR
ENSG00000133433	GSTT2B
ENSG00000071859	FAM50A
ENSG00000103089	FA2H
ENSG00000130827	PLXNA3
ENSG00000178573	MAF
ENSG00000103047	TANGO6
ENSG00000182022	CHST15
ENSG00000113319	RASGRF2
ENSG00000148344	PTGES
ENSG00000186115	CYP4F2
ENSG00000100285	NEFH
ENSG00000166831	RBPMS2
ENSG00000100804	PSMB5
ENSG00000182752	PAPPA
ENSG00000070761	CFAP20
ENSG00000214078	CPNE1
ENSG00000198168	SVIP
ENSG00000171451	DSEL
ENSG00000136928	GABBR2
ENSG00000171863	RPS7
ENSG00000160951	PTGER1
ENSG00000164543	STK17A
ENSG00000176692	FOXC2
ENSG00000232118	BACH1-AS1
ENSG00000178425	NT5DC1
ENSG00000075213	SEMA3A
ENSG00000205078	SYCE1L
ENSG00000134294	SLC38A2
ENSG00000142192	APP
ENSG00000106605	BLVRA
ENSG00000134508	CABLES1
ENSG00000196664	TLR7
ENSG00000168685	IL7R
ENSG00000276848	KIR3DX1
ENSG00000274646	RPS9
ENSG00000047634	SCML1
ENSG00000274000	LILRA2
ENSG00000274669	LILRB1
ENSG00000276458	LENG8
ENSG00000109911	ELP4
ENSG00000276537	TTYH1
ENSG00000204103	MAFB
ENSG00000132793	LPIN3
ENSG00000277808	LENG1
ENSG00000273633	CDC42EP5
ENSG00000275330	VSTM1
ENSG00000182199	SHMT2
ENSG00000019549	SNAI2
ENSG00000179222	MAGED1
ENSG00000275577	VSTM1
ENSG00000156261	CCT8
ENSG00000276774	LENG1
ENSG00000122507	BBS9
ENSG00000274626	RPS9
ENSG00000084710	EFR3B
ENSG00000181026	AEN
ENSG00000156469	MTERF3
ENSG00000124107	SLPI
ENSG00000276159	VSTM1
ENSG00000101443	WFDC2
ENSG00000278081	RPS9
ENSG00000185787	MORF4L1
ENSG00000277457	LENG1
ENSG00000141429	GALNT1
ENSG00000172172	MRPL13
ENSG00000005194	CIAPIN1
ENSG00000094804	CDC6
ENSG00000101457	DNTTIP1
ENSG00000166016	ABTB2
ENSG00000276066	VSTM1
ENSG00000278426	LENG1
ENSG00000274953	VSTM1
ENSG00000156804	FBXO32
ENSG00000276628	LENG1
ENSG00000277359	RPS9
ENSG00000274005	RPS9
ENSG00000108344	PSMD3
ENSG00000166033	HTRA1
ENSG00000132561	MATN2
ENSG00000175063	UBE2C
ENSG00000128242	GAL3ST1
ENSG00000102755	FLT1
ENSG00000188153	COL4A5
ENSG00000277607	VSTM1
ENSG00000161405	IKZF3
ENSG00000275935	LENG1
ENSG00000276363	VSTM1
ENSG00000275323	RPS9
ENSG00000278257	LENG1
ENSG00000277079	RPS9
ENSG00000101557	USP14
ENSG00000101470	TNNC2
ENSG00000124942	AHNAK
ENSG00000276452	LILRB1
ENSG00000196591	HDAC2
ENSG00000100504	PYGL
ENSG00000156509	FBXO43
ENSG00000157542	KCNJ6
ENSG00000083635	NUFIP1
ENSG00000137575	SDCBP
ENSG00000139117	CPNE8
ENSG00000278634	LILRA2
ENSG00000277807	LILRB1
ENSG00000276033	KIR3DX1
ENSG00000198054	DSCR8
ENSG00000276887	TTYH1
ENSG00000159423	ALDH4A1
ENSG00000274305	LENG8
ENSG00000278516	LENG1
ENSG00000273622	CDC42EP5
ENSG00000134594	RAB33A
ENSG00000133112	TPT1
ENSG00000080986	NDC80
ENSG00000274950	RPS9
ENSG00000170545	SMAGP
ENSG00000274887	VSTM1
ENSG00000156709	AIFM1
ENSG00000122694	GLIPR2
ENSG00000148346	LCN2
ENSG00000259494	MRPL46
ENSG00000166377	ATP9B
ENSG00000099994	SUSD2
ENSG00000157570	TSPAN18
ENSG00000167112	TRUB2
ENSG00000103257	SLC7A5
ENSG00000101188	NTSR1
ENSG00000005981	ASB4
ENSG00000092758	COL9A3
ENSG00000119630	PGF
ENSG00000291347	NOL8
ENSG00000049323	LTBP1
ENSG00000275650	TTYH1
ENSG00000276681	LENG8
ENSG00000278444	CDC42EP5
ENSG00000275918	KIR3DX1
ENSG00000275290	LILRA2
ENSG00000119718	EIF2B2
ENSG00000277134	LILRB1
ENSG00000198000	NOL8
ENSG00000196576	PLXNB2
ENSG00000058272	PPP1R12A
ENSG00000144724	PTPRG
ENSG00000164199	ADGRV1
ENSG00000275962	VSTM1
ENSG00000173473	SMARCC1
ENSG00000275885	PRPF31
ENSG00000079134	THOC1
ENSG00000276959	LENG1
ENSG00000278270	RPS9
ENSG00000169919	GUSB
ENSG00000170348	TMED10
